favorite,underdog,spread,favorite_win_prob,underdog_win_prob,favorite_ev,is_3pt_underdog,underdog_ev,pick,actual_winner
JAX,HOU,1.5,0.5529663585229785,0.4470336414770215,0.5529663585229785,False,0.894067282954043,HOU,HOU
BUF,MIA,8.5,0.7966410376983888,0.2033589623016112,0.7966410376983888,True,0.6100768869048336,BUF,MIA
BAL,MIN,4.5,0.6331719318938044,0.3668280681061956,0.6331719318938044,False,0.7336561362123912,MIN,BAL
CLE,NYJ,1.5,0.5824754323360244,0.4175245676639756,0.5824754323360244,False,0.8350491353279512,NYJ,NYJ
TB,NE,2.5,0.5402641766312782,0.45973582336872176,0.5402641766312782,False,0.9194716467374435,NE,NE
SEA,ARI,7.0,0.7486298666080871,0.25137013339191294,0.7486298666080871,True,0.7541104001757388,ARI,SEA
LA,SF,5.5,0.7134064007585743,0.2865935992414257,0.7134064007585743,False,0.5731871984828514,LA,LA
DET,WAS,8.5,0.7686745528842027,0.23132544711579728,0.7686745528842027,True,0.6939763413473918,DET,DET
LAC,PIT,3.0,0.5690748045447759,0.4309251954552241,0.5690748045447759,False,0.8618503909104482,PIT,LAC
GB,PHI,1.5,0.5833901661221882,0.4166098338778118,0.5833901661221882,False,0.8332196677556236,PHI,PHI
NE,NYJ,12.5,0.8983388055947643,0.10166119440523569,0.8983388055947643,True,0.30498358321570707,NE,NE
MIA,WAS,2.5,0.5429285157918388,0.45707148420816124,0.5429285157918388,False,0.9141429684163225,WAS,MIA
ATL,CAR,4.5,0.6240991911831637,0.3759008088168363,0.6240991911831637,False,0.7518016176336726,CAR,CAR
BUF,TB,6.0,0.7476090600365788,0.2523909399634212,0.7476090600365788,False,0.5047818799268424,BUF,BUF
LAC,JAX,3.0,0.6326736775313564,0.3673263224686436,0.6326736775313564,False,0.7346526449372872,JAX,JAX
MIN,CHI,3.0,0.622595018333474,0.37740498166652603,0.622595018333474,False,0.7548099633330521,CHI,CHI
GB,NYG,7.5,0.7178447700484158,0.28215522995158415,0.7178447700484158,True,0.8464656898547525,NYG,GB
PIT,CIN,5.5,0.6326239631118398,0.36737603688816023,0.6326239631118398,False,0.7347520737763205,CIN,PIT
HOU,TEN,5.5,0.7361466265365333,0.2638533734634667,0.7361466265365333,False,0.5277067469269334,HOU,HOU
SF,ARI,3.5,0.6780138934973023,0.32198610650269766,0.6780138934973023,False,0.6439722130053953,SF,SF
LA,SEA,3.0,0.5338044566603284,0.4661955433396716,0.5338044566603284,False,0.9323910866793432,SEA,LA
BAL,CLE,7.5,0.7517002178673182,0.24829978213268178,0.7517002178673182,True,0.7448993463980453,BAL,BAL
KC,DEN,3.5,0.6729759415815144,0.3270240584184856,0.6729759415815144,False,0.6540481168369712,KC,DEN
PHI,DET,2.5,0.5943441940325012,0.40565580596749884,0.5943441940325012,False,0.8113116119349977,DET,PHI
DAL,LV,3.5,0.6570678248746626,0.34293217512533736,0.6570678248746626,False,0.6858643502506747,LV,DAL
BUF,HOU,5.5,0.6553788279749347,0.34462117202506526,0.6553788279749347,False,0.6892423440501305,HOU,HOU
BAL,NYJ,14.0,0.8935298471145295,0.10647015288547046,0.8935298471145295,True,0.3194104586564114,BAL,BAL
